model,repetition,derived_seed,same_turn_fraction,lag1_sign_product,paper_rho_mean_cos_turn,circular_turn_resultant_length,net_displacement,straightness,visited_sites,covered_area
srw,0,7050298177707839745,0.5027513756878439,0.005502751375687844,0.8284923279606926,0.828511349057726,122.11496978767696,0.10176247482306412,1735.0,624.6
srw,1,313070989463868409,0.5082541270635318,0.016508254127063533,0.8240699405223288,0.8241284752469218,5.89070682349904,0.004908922352915867,1784.0,642.24
srw,2,15017358948449418917,0.4957478739369685,-0.008504252126063032,0.8259483842133597,0.8259734381694764,112.8458591198633,0.09403821593321943,1795.0,646.1999999999999
srw,3,12765514878589632796,0.5057528764382191,0.01150575287643822,0.8185070717271057,0.8188208270754288,6.474670005157597,0.005395558337631331,1702.0,612.72
srw,4,2745711441839021223,0.5072536268134067,0.014507253626813406,0.825069960222584,0.8254869699149826,92.42222772652796,0.07701852310543997,1730.0,622.8
srw,5,9516478704465278975,0.5042521260630315,0.008504252126063032,0.8184057352448674,0.8185115111519056,61.54101474272455,0.05128417895227046,1607.0,578.52
srw,6,13362258546912650549,0.49724862431215605,-0.005502751375687844,0.8249644396638347,0.8253375646522848,117.25295050310686,0.09771079208592238,1789.0,644.04
srw,7,5831650758997753869,0.4852426213106553,-0.029514757378689346,0.8275259903301844,0.8275278723717465,59.22856276933199,0.04935713564110999,1718.0,618.48
srw,8,6484065468680965042,0.503751875937969,0.007503751875937969,0.8270905146738005,0.827099889039247,68.85739237287757,0.05738116031073131,1713.0,616.68
srw,9,12670122079209633541,0.5057528764382191,0.01150575287643822,0.8275244445420336,0.8275337101217329,43.56507613138125,0.03630423010948437,1707.0,614.52
srw,10,3630626288384545928,0.5192596298149075,0.03851925962981491,0.8274333990838927,0.8274757228100276,88.07047879067021,0.07339206565889184,1740.0,626.4
srw,11,4257120232765176692,0.5022511255627814,0.004502251125562781,0.8230071944985812,0.823041332429647,77.95893895077818,0.06496578245898181,1665.0,599.4
srw,12,11127021386207436479,0.5127563781890946,0.025512756378189096,0.8307422278557683,0.8307600546931277,82.52490824152993,0.06877075686794161,1766.0,635.76
srw,13,11877795708116503062,0.5032516258129065,0.0065032516258129065,0.8232780424520105,0.8233896600202586,87.59693644016728,0.07299744703347273,1658.0,596.88
srw,14,4277447102142356724,0.5097548774387194,0.01950975487743872,0.8281809777131712,0.8281914854289235,43.20480157960013,0.03600400131633344,1679.0,604.4399999999999
srw,15,1055921968628540554,0.4912456228114057,-0.017508754377188594,0.8284498511414249,0.828767996779316,87.39250212648042,0.07282708510540035,1756.0,632.16
srw,16,419998092929185701,0.4977488744372186,-0.004502251125562781,0.8297545006276491,0.8298375182621798,59.71686611463471,0.04976405509552893,1642.0,591.12
srw,17,12684661451275505875,0.5042521260630315,0.008504252126063032,0.8256963373190135,0.8257360501225156,63.59288246354037,0.052994068719616975,1711.0,615.9599999999999
srw,18,13565767433287050963,0.5092546273136568,0.018509254627313655,0.8224321432450024,0.822749870213195,198.53041691595556,0.16544201409662962,1787.0,643.3199999999999
srw,19,1491648140521257334,0.5042521260630315,0.008504252126063032,0.8212955915065587,0.8213588750808041,38.18474947828212,0.0318206245652351,1655.0,595.8
srw,20,8900430960780290559,0.5137568784392196,0.02751375687843922,0.824478096166433,0.824560163134157,21.081242754710352,0.01756770229559196,1739.0,626.04
srw,21,13633666535303481908,0.4927463731865933,-0.014507253626813406,0.8315284161373725,0.8315482946213929,88.04813427515903,0.07337344522929919,1749.0,629.64
srw,22,6624369656836717460,0.5142571285642822,0.028514257128564282,0.8293151214599015,0.829527823258951,60.18266636756978,0.050152221972974816,1695.0,610.1999999999999
srw,23,3245194263407231893,0.503751875937969,0.007503751875937969,0.8296058677025178,0.8296678770837613,97.72290591470706,0.08143575492892255,1707.0,614.52
srw,24,3588811412391316825,0.5127563781890946,0.025512756378189096,0.8265325547099771,0.8265369508998034,86.87051467761911,0.0723920955646826,1605.0,577.8
srw,25,2476949655125459135,0.5172586293146574,0.03451725862931466,0.8273261572871672,0.827353857430052,142.15415808744305,0.11846179840620254,1726.0,621.36
srw,26,12707754195062451716,0.4932466233116558,-0.013506753376688344,0.824421141675065,0.824433402117121,75.27211527696123,0.06272676273080102,1702.0,612.72
srw,27,9263458712116681984,0.5077538769384692,0.015507753876938469,0.8242428231503309,0.8245159630759032,58.97727657822077,0.049147730481850636,1734.0,624.24
srw,28,16220601745713934515,0.4977488744372186,-0.004502251125562781,0.8230883365276785,0.8230894849804802,163.9492026654811,0.13662433555456757,1816.0,653.76
srw,29,4347881961143330353,0.5182591295647824,0.03651825912956478,0.8283627211548362,0.8283942406539971,27.34551889561794,0.02278793241301495,1686.0,606.9599999999999
srw,30,13623560795591721200,0.5052526263131566,0.010505252626313157,0.8255241157697176,0.8256584740675172,103.01761148683124,0.08584800957235937,1723.0,620.28
srw,31,7461140478739575942,0.49974987493746875,-0.0005002501250625312,0.8211687486626875,0.8215657074427882,107.20423586679611,0.08933686322233009,1693.0,609.48
srw,32,12897541340498626938,0.48774387193596797,-0.02451225612806403,0.8302215961291215,0.8302290883453716,56.024250505997294,0.046686875421664414,1645.0,592.1999999999999
srw,33,9880521630342650083,0.49974987493746875,-0.0005002501250625312,0.8271731285085971,0.8272035532591603,53.11990446726349,0.04426658705605291,1675.0,603.0
srw,34,12875587956648751246,0.48774387193596797,-0.02451225612806403,0.8210098190669058,0.8210498373593433,40.11076288286617,0.033425635735721805,1697.0,610.92
srw,35,18403892628518164913,0.5062531265632816,0.01250625312656328,0.825497286286128,0.8255104487924232,109.9483825178714,0.09162365209822616,1758.0,632.88
srw,36,17750365829903026710,0.48574287143571787,-0.028514257128564282,0.8238645147899423,0.823880923245508,209.46894786094097,0.17455745655078414,1748.0,629.28
srw,37,17046271332825191688,0.5062531265632816,0.01250625312656328,0.8278884544935519,0.8279049399043555,48.43549101142783,0.04036290917618986,1754.0,631.4399999999999
srw,38,5285261499351902703,0.5032516258129065,0.0065032516258129065,0.8217145180517367,0.8217145978580579,41.196823704291496,0.034330686420242916,1623.0,584.28
srw,39,5695323676401174561,0.4867433716858429,-0.026513256628314157,0.8226363230782509,0.8226363234185985,69.03666485169363,0.057530554043078025,1706.0,614.16
srw,40,11316614695666017876,0.5017508754377189,0.003501750875437719,0.8310448270500707,0.8311848021348076,62.03491391473058,0.05169576159560882,1748.0,629.28
srw,41,1946459740903287182,0.5017508754377189,0.003501750875437719,0.8251734263924306,0.8253055265273741,17.993916923928055,0.014994930769940046,1706.0,614.16
srw,42,2680844285963181001,0.48924462231115556,-0.021510755377688845,0.8266240816014242,0.8267030269016082,69.89016393945906,0.058241803282882545,1753.0,631.0799999999999
srw,43,16898924551030485573,0.511255627813907,0.022511255627813906,0.8287356924218108,0.8295445714286724,84.70589275582294,0.07058824396318579,1692.0,609.12
srw,44,14757096717747505002,0.5032516258129065,0.0065032516258129065,0.825064373311626,0.8250911974723968,80.47064948765706,0.06705887457304754,1788.0,643.68
srw,45,11336132508269344310,0.49974987493746875,-0.0005002501250625312,0.8235501876776425,0.8236118851228882,154.42345321424904,0.1286862110118742,1792.0,645.12
srw,46,16583254337807251911,0.4827413706853427,-0.03451725862931466,0.831322257013913,0.8313467070246885,8.025629261226134,0.006688024384355112,1714.0,617.04
srw,47,1666989777914204846,0.4782391195597799,-0.04352176088044022,0.8287402193058039,0.8287834602728542,87.94245429283815,0.07328537857736513,1776.0,639.36
srw,48,4867645415917593766,0.4977488744372186,-0.004502251125562781,0.8234952470474013,0.8235841629626218,36.43090275514705,0.03035908562928921,1639.0,590.04
srw,49,552075445277118235,0.4912456228114057,-0.017508754377188594,0.8252767857436094,0.8253005269589686,75.78377353379608,0.06315314461149674,1659.0,597.24
fcrw,0,3941247350231933188,0.19709854927463732,-0.6058029014507254,0.8278681892222334,0.827900275765636,68.96877919064504,0.05747398265887087,1855.0,667.8
fcrw,1,11793892039908463828,0.19809904952476237,-0.6038019009504753,0.8281741792227058,0.8281987701054969,66.84102453906618,0.055700853782555154,1783.0,641.88
