model,metric,mean,std,standard_error,ci95_half_width,n
srw,same_turn_fraction,0.5013406703351675,0.009583514990552502,0.0013553136874845213,0.0026564148274696615,50
srw,lag1_sign_product,0.002681340670335168,0.019167029981104998,0.0027106273749690417,0.005312829654939321,50
srw,paper_rho_mean_cos_turn,0.8258499182583503,0.0031909434062642153,0.0004512675441903854,0.0008844843866131554,50
srw,circular_turn_resultant_length,0.8259535598079414,0.003177377573140885,0.000449349045671595,0.0008807241295163262,50
srw,net_displacement,77.07670943624218,44.02632719757004,6.226262902427901,12.203475288758685,50
srw,straightness,0.0642305911968685,0.036688605997975035,0.005188552418689918,0.010169562740632238,50
srw,visited_sites,1715.74,51.23487731088291,7.245705835957217,14.201583438476145,50
srw,covered_area,617.6664,18.444555831917846,2.608454100944598,5.1125700378514125,50
fcrw,same_turn_fraction,0.20175087543771883,0.008602028526073757,0.001216510540549375,0.002384360659476775,50
fcrw,lag1_sign_product,-0.5964982491245623,0.017204057052147514,0.00243302108109875,0.00476872131895355,50
fcrw,paper_rho_mean_cos_turn,0.8266156587850964,0.0030739832298058507,0.0004347268774098885,0.0008520646797233813,50
fcrw,circular_turn_resultant_length,0.826641152781567,0.003070654717141761,0.0004342561546346798,0.0008511420630839723,50
fcrw,net_displacement,116.24770558440645,51.04782726591463,7.2192529649135535,14.149735811230565,50
fcrw,straightness,0.09687308798700536,0.042539856054928854,0.006016044137427961,0.011791446509358804,50
fcrw,visited_sites,1835.1,24.877864925779022,3.518261398092262,6.895792340260834,50
fcrw,covered_area,660.636,8.956031373280444,1.2665741033132139,2.4824852424938992,50
zw,same_turn_fraction,0.17233616808404204,0.006644451032935785,0.0009396672765301708,0.0018417478619991347,50
zw,lag1_sign_product,-0.655327663831916,0.013288902065871569,0.0018793345530603413,0.003683495723998269,50
zw,paper_rho_mean_cos_turn,0.8268206043276557,0.0035586422491274265,0.0005032680132349901,0.0009864053059405807,50
zw,circular_turn_resultant_length,0.8268479082412697,0.0035589329363887594,0.0005033091226217287,0.0009864858803385883,50
zw,net_displacement,120.76914490240593,71.63219133958667,10.130321649494803,19.855430433009815,50
zw,straightness,0.10064095408533827,0.05969349278298889,0.008441934707912336,0.016546192027508178,50
zw,visited_sites,1853.88,26.245808217305708,3.7117177936356955,7.274966875525963,50
zw,covered_area,667.3968,9.448490958230053,1.3362184057088502,2.618988075189346,50
