time,ant_id,x,y,heading,orientation_angle,role,movement_cursor,last_path_distance,last_displacement
250,0,24.35311314170066,13.36158064323029,0.4778859100503635,0.4778859100503636,transporter,183,0.6,0.587848125468337
250,1,44.57164524650534,28.440389977053922,-1.257960687476874,-1.257960687476874,transporter,186,0.6,0.6000000000000016
250,2,28.73354092975523,33.24574907710323,-1.1684644764605483,-1.1684644764605483,follower,203,0.6,0.5999999999999964
250,3,27.01378507020185,21.83227486754369,0.4765052083359215,0.47650520833592136,follower,116,0.6,0.5999999999999996
250,4,23.048961706756216,19.08122131751878,-2.0045732033448123,1.1370194502449809,transporter,173,0.6,0.5933717526600949
250,5,30.84661723489213,24.222263789544474,1.0839939015447562,1.0839939015447562,follower,79,0.6,0.5999999999999996
250,6,35.01952999271798,7.511241407809766,-0.7660389465307709,-0.7660389465307709,transporter,161,0.6,0.599999999999998
250,7,22.215965213609515,33.00604330007404,0.22835479442094633,0.2283547944209463,follower,109,0.6,0.5999999999999986
250,8,31.049079683209772,11.385270968858686,-0.020528223071192783,-0.02052822307119273,transporter,147,0.6,0.6
250,9,24.890726594048868,22.140917925771813,-2.86421466800056,0.2773779855892333,transporter,49,0.6,0.6000000000000009
