time,ant_id,from_role,to_role,reason,x,y
568,5,follower,transporter,food_reached_from_trail,29.11915724924168,29.658010438019616
572,3,follower,transporter,food_reached_from_trail,30.052071287969994,28.855204261054446
579,8,follower,transporter,food_reached_from_trail,27.83803361398632,29.96886493926619
590,6,follower,transporter,food_reached_from_trail,30.44505525645769,26.749214095922774
591,7,follower,transporter,food_reached_from_trail,26.914556294234497,23.511857495548163
593,1,transporter,follower,food_deposited_at_nest,9.619773739481877,10.864023521266372
595,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
595,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
596,9,follower,transporter,food_reached_from_trail,28.105861508936876,23.60516294207049
619,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
623,0,follower,transporter,food_reached_from_trail,26.975124588995705,23.512880019064667
625,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
627,2,transporter,follower,food_deposited_at_nest,10.29139802925724,14.19291569525349
627,3,transporter,follower,food_deposited_at_nest,13.492061710398492,9.445194056986743
628,6,transporter,follower,food_deposited_at_nest,14.870586632723317,11.778673174788112
629,4,follower,transporter,food_reached_from_trail,30.052111527254013,25.126292517842394
635,5,transporter,follower,food_deposited_at_nest,11.057457727538393,9.175095926424358
647,7,follower,transporter,food_reached_from_trail,27.0630568341404,23.44273233699818
647,8,transporter,follower,food_deposited_at_nest,9.257120311015008,12.509953762433682
651,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
654,9,follower,transporter,food_reached_from_trail,28.106538136997592,23.586325383078364
663,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
668,6,follower,transporter,food_reached_from_trail,30.5253687267832,27.72544049938385
675,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
679,0,follower,transporter,food_reached_from_trail,26.979555114732428,23.51311858733073
683,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
685,3,follower,transporter,food_reached_from_trail,28.888478239425268,29.95388742292474
690,2,follower,transporter,food_reached_from_trail,27.884612172964708,29.916431794163465
695,1,follower,transporter,food_reached_from_trail,28.955264151417026,29.929680415317772
695,4,follower,transporter,food_reached_from_trail,29.245437867276703,24.29988740676965
700,5,follower,transporter,food_reached_from_trail,29.77685222845605,28.90193037134983
703,7,follower,transporter,food_reached_from_trail,27.086022439101484,23.434799698792343
707,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
708,6,transporter,follower,food_deposited_at_nest,14.870586632723317,11.778673174788112
713,9,follower,transporter,food_reached_from_trail,28.491229480044414,24.009674007340973
716,8,follower,transporter,food_reached_from_trail,27.684678194260787,30.26739346090787
727,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
731,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
735,0,follower,transporter,food_reached_from_trail,27.064229145749845,23.413382830889446
743,3,transporter,follower,food_deposited_at_nest,13.492061710398492,9.445194056986743
743,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
746,6,follower,transporter,food_reached_from_trail,30.568189418287993,26.701434334102366
752,2,transporter,follower,food_deposited_at_nest,10.29139802925724,14.19291569525349
759,4,follower,transporter,food_reached_from_trail,29.239982108611283,24.314382604073323
760,7,follower,transporter,food_reached_from_trail,27.631606672030156,23.717509349168658
763,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
765,5,transporter,follower,food_deposited_at_nest,11.057457727538393,9.175095926424358
772,9,follower,transporter,food_reached_from_trail,28.08369157645213,23.62261313506198
784,6,transporter,follower,food_deposited_at_nest,14.870586632723317,11.778673174788112
784,8,transporter,follower,food_deposited_at_nest,9.257120311015008,12.509953762433682
789,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
791,0,follower,transporter,food_reached_from_trail,27.07468851373579,23.413464822846993
791,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
793,1,transporter,follower,food_deposited_at_nest,9.47657872644807,10.758998600525711
799,3,follower,transporter,food_reached_from_trail,29.740744888194236,29.2904087889666
801,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
810,2,follower,transporter,food_reached_from_trail,27.00451952417007,30.52842722111824
818,7,follower,transporter,food_reached_from_trail,27.650872645956806,23.689057138840305
819,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
822,6,follower,transporter,food_reached_from_trail,30.497623692048077,26.793956199623153
824,4,follower,transporter,food_reached_from_trail,29.693781817420287,24.71142432141182
831,9,follower,transporter,food_reached_from_trail,28.579006965633358,23.92087988570904
844,5,follower,transporter,food_reached_from_trail,28.736014902427115,30.14524144806627
847,7,transporter,follower,food_deposited_at_nest,13.746876860487575,14.326759287261634
848,0,follower,transporter,food_reached_from_trail,27.557039687865995,23.7622195201594
850,8,follower,transporter,food_reached_from_trail,27.59113089199427,30.278192433778372
855,3,transporter,follower,food_deposited_at_nest,13.492061710398492,9.445194056986743
857,4,transporter,follower,food_deposited_at_nest,14.613016255892662,12.659614685290636
860,6,transporter,follower,food_deposited_at_nest,14.870586632723317,11.778673174788112
861,9,transporter,follower,food_deposited_at_nest,14.540249000312956,13.480577767259463
867,2,transporter,follower,food_deposited_at_nest,10.237220686686005,14.309550827532306
876,7,follower,transporter,food_reached_from_trail,27.67741838788949,23.65958940336755
877,0,transporter,follower,food_deposited_at_nest,13.648984083956883,14.400136717513197
885,1,follower,transporter,food_reached_from_trail,29.78554855530959,29.036992902181957
890,9,follower,transporter,food_reached_from_trail,28.10352947956118,23.597597171767873
891,4,follower,transporter,food_reached_from_trail,30.054855882288617,25.164649629717157
899,6,follower,transporter,food_reached_from_trail,30.42297398370146,27.300441079850295
