leg_id,ant_id,source_role,transport_start_time,departure_x,departure_y,outbound_sample_count,outbound_path_length,outbound_endpoint_distance,outbound_path_efficiency,memory_waypoint_count,memory_path_length,nest_food_straight_distance,outbound_max_axis_distance,actual_return_distance,distance_increasing_steps,status,delivery_time,transport_time_steps,actual_return_endpoint_distance,actual_return_path_efficiency,site_axis_distance_over_actual_return,memory_to_outbound_length_ratio,memory_shortening_fraction,actual_to_memory_length_ratio,return_max_axis_distance,return_p90_axis_distance,distance_increasing_step_fraction,repeated_return_cell_fraction,anomalously_long_vs_site_axis,possible_looping,far_from_main_axis
1,87,forager,913,239.9729584213268,236.51146154048084,914,547.7999999999998,209.66043169938578,0.38273171175499426,306,526.3508720749942,212.13203435596427,35.595881585462394,402.00000000000387,130,completed_delivery,1583.0,670,212.47404757660954,0.5285424069069838,0.5276916277511499,0.9608449654527096,0.03915503454729041,0.7637490908207845,32.9600894896582,24.41951725146452,0.19402985074626866,0.05663189269746649,True,False,True
2,63,follower,2314,239.72300257569384,236.59696916018646,2315,1387.7103848066931,209.54152062833248,0.1509980201362559,773,1351.4384039043741,212.13203435596427,162.86608762949436,1348.7999999999781,883,completed_delivery,4562.0,2248,207.22074259951881,0.15363340940059472,0.15727463994362967,0.9738619950535489,0.026138004946451132,0.9980477068753015,162.8203281633454,136.19229914061293,0.3927935943060498,0.2112049799911072,True,False,True
3,81,follower,2356,239.8938007563064,236.8218506254175,2357,1412.7212100625393,209.8208934454424,0.14852250532584127,787,1373.7577276287268,212.13203435596427,124.56950095513542,447.60000000000554,176,completed_delivery,3102.0,746,212.59553792387592,0.4749676897316204,0.47393215897221097,0.9724195530184702,0.027580446981529838,0.325821643072842,124.56950095513542,124.56950095513528,0.2359249329758713,0.008032128514056214,True,False,True
4,67,follower,2510,239.9556168722404,236.8530762228335,2511,1505.7606853240482,209.88690532675804,0.13938928501217257,838,1468.5557579118035,212.13203435596427,124.68802915203088,442.80000000000535,162,completed_delivery,3248.0,738,212.5297511873464,0.4799678211096292,0.4790696349502297,0.9752916065780812,0.024708393421918773,0.3015207271596142,124.68802915203088,124.68802915203074,0.21951219512195122,0.16644113667117721,True,False,True
5,87,follower,2567,239.97754811923508,236.72801520759123,985,589.8235944340489,212.62915549224977,0.36049618478940804,329,588.7692552013164,212.13203435596427,124.45945576977437,588.6000000000108,293,completed_delivery,3548.0,981,212.62786180849972,0.3612433941700574,0.3604010097790696,0.9982124498872511,0.0017875501127488924,0.9997125271066546,124.4594557697744,124.45945576977422,0.29867482161060144,0.12016293279022405,True,False,True
6,86,follower,2616,239.87543391890696,236.5296959495727,2617,1568.6823289911122,209.6034290927867,0.1336175114738443,873,1531.7672760363653,212.13203435596427,140.87363152868772,1528.7999999999508,1077,completed_delivery,5164.0,2548,210.06163207132383,0.1374029513810378,0.13875721765827517,0.9764674770203546,0.023532522979645365,0.998062841475441,140.42351044169382,86.24393368956063,0.42268445839874413,0.2306786975284425,True,False,True
7,65,follower,2655,240.04486983453347,236.41417402646474,2656,1591.9716802741214,209.64392030181554,0.13168822215839732,886,1547.115569954707,212.13203435596427,143.92918703699536,1544.3999999999485,1119,completed_delivery,5229.0,2574,207.52248263335082,0.134370941876041,0.13735562960112105,0.9718235500824421,0.028176449917557855,0.9982447530052082,143.73778114044887,107.92415058383138,0.4347319347319347,0.052815533980582474,True,False,True
8,88,follower,2945,240.0369442755445,236.47720680766773,2946,1766.1973758239321,209.68227574527873,0.11871961685338923,983,1712.4964411924434,212.13203435596427,101.09330400401419,1709.9999999999234,1179,completed_delivery,5795.0,2850,207.46463145183708,0.12132434587827273,0.12405382126080337,0.9695951679203253,0.030404832079674704,0.9985422210916937,100.94386907255439,66.02770059450843,0.41368421052631577,0.12662223781129434,True,False,True
9,3,follower,3042,240.15505714824124,236.98540374390078,3043,1823.9810895600567,210.12198861839545,0.11519965301234388,1015,1763.4028906046374,212.13203435596427,145.03941742798497,1561.199999999946,1088,completed_delivery,5644.0,2602,208.91520657566514,0.13381706800901383,0.13587755211117833,0.9667879237881624,0.03321207621183764,0.8853336967507409,144.8336615422033,125.09382897450064,0.4181398923904689,0.06377257011140991,True,False,True
10,41,follower,3214,240.064112540717,236.59180484355687,3215,1925.478643308793,209.7817797615523,0.10895045784618924,1073,1883.073621985271,212.13203435596427,150.91694072444258,1043.4000000000244,640,completed_delivery,4953.0,1739,209.27925042508767,0.20057432473172587,0.20330844772470702,0.9779768934488663,0.02202310655113371,0.5540941085988966,150.61215297617431,113.73276358787307,0.3680276020701553,0.2270114942528736,True,False,True
11,39,follower,3249,240.1781361677732,236.58682197085352,3250,1948.6744244094107,209.85987934414936,0.10769365919489197,1084,1906.0813914204336,212.13203435596427,163.10105870437894,1903.199999999894,1385,completed_delivery,6421.0,3172,212.60802224428392,0.11171081454618313,0.11146071582386301,0.9781425606784542,0.021857439321545824,0.9984883166933431,162.95718702819164,124.54415425917755,0.4366330390920555,0.18121651433974162,True,False,True
12,24,follower,3340,240.3900429428206,236.54476871028263,3341,2002.71650316956,209.98222365879846,0.10484870091521901,1115,1933.2540287524241,212.13203435596427,168.80841515571794,1885.1999999998968,1322,completed_delivery,6482.0,3142,210.48553790254874,0.11165156901260358,0.11252494926584759,0.9653158725624909,0.03468412743750915,0.9751434482805461,168.22390780366678,148.65183481219327,0.4207511139401655,0.0871778555520204,True,False,True
13,46,follower,3373,240.24906560968904,236.73274862444643,3374,2022.9470667096616,210.01257399372454,0.10381516029250906,1126,1968.158926837141,212.13203435596427,115.53532496357406,1964.9999999998847,1349,completed_delivery,6648.0,3275,211.8755266797951,0.10782469551135243,0.10795523376894489,0.9729166715362286,0.027083328463771372,0.998394983863253,115.15125591850767,104.35714148983257,0.4119083969465649,0.13888888888888884,True,False,True
14,14,follower,3484,240.26146599778892,236.72788268629733,3485,2089.3857598940267,210.0180461803426,0.1005166447535254,1163,2018.8156458907022,212.13203435596427,210.07768801159526,2015.999999999877,1447,completed_delivery,6844.0,3360,207.46390155637377,0.10290868132757264,0.10522422339086171,0.9662244687611425,0.03377553123885746,0.9986052981625358,210.00469616922365,159.95256088099117,0.43065476190476193,0.05325795894079144,True,False,True
15,26,follower,3489,240.0603331388705,236.74802056159103,3490,2092.1377426424524,209.8882681821305,0.100322394603442,1164,2018.2761718860334,212.13203435596427,180.19584970782924,2015.399999999877,1440,completed_delivery,6848.0,3359,207.0851883066608,0.10275140830935468,0.10525554944724481,0.964695646347296,0.03530435365270401,0.9985749364104772,180.17826830821843,135.34012964928868,0.42869901756475143,0.05625000000000002,True,False,True
16,34,follower,3505,240.45961612751685,236.82495370612548,3506,2101.885693090452,210.22764593660278,0.10001859122391195,1170,2056.4841240723354,212.13203435596427,124.417570113842,1146.6000000000088,708,completed_delivery,5416.0,1911,210.58204948347228,0.18365781395732658,0.18500962354435954,0.9783996012878503,0.021600398712149693,0.5575535383805754,116.41555629998079,105.39498006143137,0.3704866562009419,0.26412133891213385,True,True,True
17,75,follower,3633,237.51513950994286,237.4325601281563,3634,2178.9869129171593,208.55952668382312,0.09571398774699852,1212,2114.3548483734057,212.13203435596427,135.75416242472406,2111.3999999998628,1565,completed_delivery,7152.0,3519,207.81336990044582,0.09842444345006125,0.10046984671591269,0.9703384797032919,0.0296615202967081,0.9986024822768912,135.6169890498932,105.61668932270092,0.4447286160841148,0.10568181818181821,True,False,True
18,12,follower,3646,237.2672553754329,237.76231181861863,3647,2186.2702944880293,208.61770130982572,0.09542173345893576,1217,2139.9581878406443,212.13203435596427,162.84249741001003,2137.199999999859,1517,completed_delivery,7208.0,3562,205.8809860500764,0.09633211026113138,0.09925698781395202,0.9788168431121504,0.021183156887849552,0.9987111019942083,162.40093553518582,110.40684582164705,0.4258843346434587,0.19674431658714564,True,False,True
19,47,follower,3670,237.0000382370655,238.5072084273982,3671,2200.599605939791,208.95789575078854,0.09495498189983119,1225,2110.4065446282666,212.13203435596427,192.6756909413869,1564.1999999999455,1104,completed_delivery,6277.0,2607,211.60055035450358,0.13527717066520328,0.13561695074541086,0.9590143245195181,0.04098567548048193,0.7411842064181375,192.44924574022343,163.43219676312137,0.4234752589182969,0.067101226993865,True,False,True
20,76,follower,3748,242.76488725655094,238.095847955841,3749,2247.0423654343094,212.76628247978178,0.09468725901777032,1251,2191.2217294737047,212.13203435596427,163.1625265171745,2188.7999999998506,1543,completed_delivery,7396.0,3648,214.67047798858746,0.09807679001672245,0.0969170478600049,0.9751581737757687,0.024841826224231256,0.9988948040076091,162.87895448416614,125.02525206829608,0.42297149122807015,0.17347218416004384,True,False,True
21,84,follower,3925,240.74076653272817,236.7192446316928,3926,2353.658489623229,210.35521253386847,0.08937371902562717,1310,2283.7799574974542,212.13203435596427,163.22876517726726,2281.199999999837,1698,completed_delivery,7727.0,3802,212.55054669783715,0.09317488457735067,0.0929914230913464,0.9703106748774922,0.02968932512250777,0.9988703125758034,163.17634420875385,133.85335939180712,0.4466070489216202,0.14278201419931635,True,False,True
22,18,follower,4015,242.88548312235065,238.24601140478723,4016,2407.11398284372,212.9573920928383,0.08847000749056942,1340,2357.5278081723472,212.13203435596427,162.9219374477233,2321.999999999831,1645,completed_delivery,7885.0,3870,210.38017365467385,0.0906030032965931,0.09135746526958645,0.979400155113223,0.02059984488677702,0.9849300576437064,162.41026815505273,103.52851462218955,0.42506459948320413,0.21002324980625164,True,False,True
23,6,follower,4051,242.98788534404702,238.78585091142452,4052,2428.717325190367,213.40694106209367,0.08786816763262743,1352,2356.8503089035976,212.13203435596427,163.25311560514646,2354.399999999826,1706,completed_delivery,7975.0,3924,211.91353327485717,0.09000744702466566,0.09010025244477572,0.9704094768290351,0.02959052317096489,0.9989603459776317,163.05528137329495,124.88414976556071,0.4347604485219164,0.1271337579617834,True,False,True
