ant_id,start_time,delivery_time,endpoint_distance,actual_return_distance,efficiency
65,1571,3079,208.82559313231334,904.8000000000228,0.23079751672447843
44,1866,3659,213.9109776723814,1075.8000000000195,0.19883898277781883
81,1906,3739,208.4195063326268,1099.8000000000159,0.18950673425406783
79,2636,3815,211.99617111197324,707.4000000000153,0.29968358935816886
40,1959,3844,207.55597761516546,1131.0000000000111,0.18351545324063961
64,2018,3959,206.11072199398942,1164.600000000006,0.1769798402833491
63,2065,4042,212.74724840044286,1186.2000000000028,0.17935192075572615
27,2188,4078,212.1155486851454,1134.0000000000107,0.18705074839959734
65,3609,4115,209.92593988373787,303.1537988071209,0.6924733937353743
61,2098,4116,213.39101121337484,1210.799999999999,0.17623968550823835
67,2104,4130,213.53059061752637,1215.5999999999983,0.17565859708582318
30,2124,4167,214.77668246564045,1225.7999999999968,0.17521347892449096
14,2148,4211,212.67033686587357,1237.799999999995,0.17181316599278917
86,2269,4453,213.65353804860672,1310.399999999984,0.16304451926786426
95,2284,4466,216.8479261174377,1309.1999999999841,0.1656339185131686
21,2309,4534,212.9488268674538,1334.9999999999802,0.15951222986326363
66,2320,4551,210.80987789145505,1338.5999999999797,0.1574853413203782
38,2331,4570,216.2413434606285,1343.399999999979,0.16096571643637927
62,2458,4621,214.09061926910977,1297.7999999999859,0.16496426203506864
46,2379,4659,211.77162564989266,1367.9999999999752,0.15480381991951497
33,2390,4680,208.62074383653442,1373.9999999999743,0.1518346025011196
82,2395,4700,211.31894632264428,1382.999999999973,0.15279750276402632
98,2499,4711,210.39511184619758,1327.1999999999814,0.15852555142118785
79,4315,4780,207.31507606197587,278.79291690707913,0.7436167258548875
31,2437,4784,207.96010715137288,1408.1999999999691,0.14767796275484835
72,3052,4805,216.99246220928254,1051.8000000000231,0.20630582069716463
18,2454,4818,206.30965822613646,1418.3999999999676,0.14545238171611757
39,2479,4866,208.14361580309296,1432.1999999999655,0.1453313893332621
52,2494,4885,212.0428803659185,1434.5999999999651,0.1478062737807916
0,2494,4910,212.01200837804254,1449.5999999999628,0.1462555245433554
32,2508,4920,215.57985195948717,1447.1999999999632,0.14896341346012482
71,2518,4933,208.72180013218218,1448.999999999963,0.14404541071924604
56,2524,4946,208.69469911263138,1453.1999999999623,0.143610445301842
43,2528,4968,213.47536389199848,1463.9999999999607,0.14581650539071325
19,2564,5019,211.88156885988644,1472.9999999999593,0.14384356338078227
81,4413,5025,207.21708912305007,367.2000000000025,0.5643166915115705
61,4581,5032,209.78214308683243,270.5999999999986,0.7752481267067018
80,2573,5051,206.47401388072814,1486.7999999999572,0.13887141100399117
65,4594,5056,211.44060459429193,277.1279289983927,0.7629711135881878
67,4632,5109,213.09617022934927,286.1999999999994,0.7445708253995448
27,4735,5293,211.7067008797379,334.66486279810357,0.6325931533704398
89,2731,5361,212.30465067709463,1577.9999999999434,0.13454033629727646
21,4982,5414,206.50640082422535,259.1999999999984,0.7967067933033435
69,2780,5453,209.93922699740344,1603.7999999999395,0.13090112669747558
59,2996,5515,212.61021775155808,1511.3999999999535,0.1406710452240073
84,2934,5748,212.71186622086776,1688.3999999999266,0.1259842846605526
39,5328,5764,206.29809980810685,261.5999999999985,0.7886012989606577
49,2941,5774,211.37537316490278,1699.799999999925,0.12435308457754567
10,3016,5786,215.0560681816714,1661.9999999999307,0.12939594956779807
37,2971,5809,211.72603119495696,1702.7999999999245,0.12433992905506598
60,3237,5815,206.50480483960774,1546.799999999948,0.13350452860073356
90,2974,5836,208.91881461040327,1717.1999999999223,0.12166248230282596
44,5050,5845,210.5134540322799,476.675696265596,0.4416282509922327
33,5346,5903,210.6868556870112,333.8507327595186,0.6310810042126653
81,5479,5915,206.57345787376184,261.5999999999985,0.7896538909547517
62,5362,5949,209.66326027700194,352.0660932435669,0.5955224439405256
80,5536,5995,206.42511730936022,275.399999999999,0.7495465407021095
73,3092,6068,212.26566052113705,1785.599999999912,0.11887637798003334
