time,ant_id,x,y,heading,orientation_angle,role,movement_cursor,last_path_distance,last_displacement
10000,0,101.54753680650357,98.47108217378381,0.7627911755538157,0.7627911755538159,follower,1795,0.6,0.5999999999999968
10000,1,161.85514883849166,105.64948935194691,0.9415317042780253,0.9415317042780256,transporter,3179,0.6,0.599999999999998
10000,2,67.8106093985569,77.79136195148547,0.95094485545433,0.9509448554543303,follower,3192,0.6,0.5999999999999982
10000,3,231.24275258905092,231.37052303145845,1.618089013384851,-1.5235036402049422,follower,2232,0.6,0.5999999999999883
10000,4,145.52731327944048,167.0359182030604,1.3733815295585918,1.3733815295585918,follower,2422,0.6,0.600000000000011
10000,5,109.07900351483076,180.2729464059663,2.4936190276357837,-0.647973625954009,follower,3052,0.6,0.600000000000005
10000,6,121.58069967010411,114.09366778950663,-3.0395390425581392,0.10205361103165389,follower,3041,0.6,0.6000000000000031
10000,7,228.00432123015844,231.64101733711504,-2.5374785519368097,0.6041141016529834,follower,2852,0.6,0.6000000000000018
10000,8,230.35974251193193,228.48643197567145,0.6486312444612041,0.6486312444612041,follower,2924,0.6,0.6000000000000049
10000,9,244.098461288862,254.36075536017398,2.5254981827525382,-0.6160944708372549,follower,2695,0.6,0.599999999999997
10000,10,109.59796234084997,101.64295959366737,3.116478607002813,-0.02511404658697991,follower,2275,0.6,0.5999999999999962
10000,11,94.77030237579022,105.46487889177077,1.6531076638090574,-1.4884849897807357,follower,3097,0.6,0.6000000000000059
10000,12,95.03697119134274,180.33540230268878,1.6473481369496452,-1.4942445166401477,follower,3224,0.6,0.6000000000000071
10000,13,230.1333062342471,231.79430287709587,2.4834922301733604,-0.6581004234164327,follower,3212,0.6,0.6000000000000062
10000,14,230.09384074506215,232.72557457033682,-3.0393565648763263,0.10223608871346679,follower,2039,0.6,0.6000000000000079
10000,15,228.44610595367354,231.49346169331204,-2.5374785519368097,0.6041141016529834,follower,2275,0.6,0.6000000000000018
