time,ant_id,from_role,to_role,reason,x,y
1571,65,forager,transporter,food_detected,237.75628793846568,237.21731872459748
1786,81,forager,follower,pheromone_sensed,203.725214878486,186.2518050894353
1788,44,forager,follower,pheromone_sensed,223.42079690238677,197.7163611265368
1795,0,forager,follower,pheromone_sensed,224.01772198052646,207.52972078257795
1819,40,forager,follower,pheromone_sensed,183.67248455400275,174.68590851878454
1827,39,forager,follower,pheromone_sensed,187.02473649928575,176.29144447760143
1844,64,forager,follower,pheromone_sensed,165.45529331020458,170.83320780162964
1866,44,follower,transporter,food_reached_from_trail,242.47858761700473,237.41688427194177
1875,67,forager,follower,pheromone_sensed,160.10773502555665,156.79140230399102
1903,52,forager,follower,pheromone_sensed,226.21761630376838,227.88083660339421
1906,81,follower,transporter,food_reached_from_trail,241.34087849193327,236.66718889436368
1907,27,forager,follower,pheromone_sensed,137.50586430351004,155.40677536933833
1959,40,follower,transporter,food_reached_from_trail,237.45141183896558,237.68803230482789
1971,30,forager,follower,pheromone_sensed,197.4873501478096,172.5790959143198
1980,61,forager,follower,pheromone_sensed,210.5178456987127,191.89635898351654
1981,21,forager,follower,pheromone_sensed,229.49629579362298,218.1140729649115
2010,86,forager,follower,pheromone_sensed,151.014909886445,143.90283251522177
2018,64,follower,transporter,food_reached_from_trail,236.98746817777015,238.4608207886504
2039,14,forager,follower,pheromone_sensed,209.14749123003406,198.7452909832341
2048,82,forager,follower,pheromone_sensed,95.75561888880594,191.1756260482751
2065,63,forager,transporter,food_detected,242.73840880315956,242.2929798009812
2073,18,forager,follower,pheromone_sensed,82.73277597973626,178.45934339058934
2079,66,forager,follower,pheromone_sensed,151.07692566587218,144.25015382768999
2098,43,forager,follower,pheromone_sensed,212.0623397316456,190.9866053856923
2098,61,follower,transporter,food_reached_from_trail,243.2306011642299,240.11201503332373
2104,67,follower,transporter,food_reached_from_trail,241.77847746358267,236.98000639314307
2124,30,follower,transporter,food_reached_from_trail,243.05518543036965,239.50506597843548
2127,72,forager,follower,pheromone_sensed,111.28031600001444,170.13589597466552
2148,14,follower,transporter,food_reached_from_trail,241.5898901149113,236.98043037474912
2161,31,forager,follower,pheromone_sensed,99.80977709729272,201.30173414248668
2188,27,follower,transporter,food_reached_from_trail,241.7133479453786,236.96819617621426
2191,38,forager,follower,pheromone_sensed,200.77772568044358,175.44324743835526
2214,33,forager,follower,pheromone_sensed,158.35889296649833,212.4494815955293
2232,3,forager,follower,pheromone_sensed,60.87779442293718,184.08776993478307
2234,71,forager,follower,pheromone_sensed,119.79726575657232,169.12086723851843
2247,46,forager,follower,pheromone_sensed,203.54751333172084,180.74455175951155
2251,56,forager,follower,pheromone_sensed,141.92374906511034,230.57683042046796
2255,98,forager,follower,pheromone_sensed,143.56398979486494,160.47970818966223
2263,92,forager,follower,pheromone_sensed,55.03721176909013,175.17082222453817
2269,86,follower,transporter,food_reached_from_trail,241.3852753378763,236.71054839503674
2272,95,forager,follower,pheromone_sensed,249.959820935558,241.17160732111816
2275,10,forager,follower,pheromone_sensed,171.50885434218992,252.97613081293267
2275,15,forager,follower,pheromone_sensed,83.32334331147668,178.72757120632414
2284,95,follower,transporter,food_reached_from_trail,243.26727313643238,240.7606195993612
2285,62,forager,follower,pheromone_sensed,230.98625483903027,168.26028906915442
2292,80,forager,follower,pheromone_sensed,120.65545992439587,168.9196485198433
2309,21,follower,transporter,food_reached_from_trail,243.2082524460065,240.95971454690329
2320,66,follower,transporter,food_reached_from_trail,237.1727929404178,238.51043838709631
2331,38,follower,transporter,food_reached_from_trail,243.54495714711118,239.89563990568558
2356,32,forager,follower,pheromone_sensed,197.55048010520048,171.4163645471167
2357,74,forager,follower,pheromone_sensed,95.26594274119688,193.47084391978223
2379,46,follower,transporter,food_reached_from_trail,243.0803874453291,239.25672848295807
2390,33,follower,transporter,food_reached_from_trail,236.93644532387515,238.5803786001651
2395,82,follower,transporter,food_reached_from_trail,237.5669585370875,237.80583258582888
2422,4,forager,follower,pheromone_sensed,54.24540758241238,172.0964450491371
2437,31,follower,transporter,food_reached_from_trail,236.77702073253914,238.9510996158489
2441,89,forager,follower,pheromone_sensed,227.9934699884619,103.86970089053489
2454,18,follower,transporter,food_reached_from_trail,237.86988127641536,237.67527149028393
2458,62,follower,transporter,food_reached_from_trail,243.31161940949116,239.76374860025123
2470,20,forager,follower,pheromone_sensed,216.82002232076627,99.23810955883675
2479,39,follower,transporter,food_reached_from_trail,236.52268837168492,240.89723798498045
2490,69,forager,follower,pheromone_sensed,222.55256748185843,115.89199577704778
2494,0,follower,transporter,food_reached_from_trail,243.1523344399945,239.0804831929102
2494,52,follower,transporter,food_reached_from_trail,236.55578028319997,240.96812169534687
2495,49,forager,follower,pheromone_sensed,222.4537904533307,96.04998532154828
2497,48,forager,follower,pheromone_sensed,127.95358869261383,144.031174222107
2499,98,follower,transporter,food_reached_from_trail,237.3872077138601,237.66633897156473
2507,19,forager,follower,pheromone_sensed,269.2190011991973,224.82637897296317
2508,32,follower,transporter,food_reached_from_trail,243.35829418139167,239.03383769099813
2518,71,follower,transporter,food_reached_from_trail,237.46822953969092,237.93555108886827
2524,56,follower,transporter,food_reached_from_trail,236.4645956424603,240.6434201949766
2528,43,follower,transporter,food_reached_from_trail,243.01929017638258,238.9602820121205
2554,28,forager,follower,pheromone_sensed,135.05636897358065,239.00199290332588
2556,79,forager,follower,pheromone_sensed,226.52660928925138,199.20809569909645
2564,19,follower,transporter,food_reached_from_trail,242.98973057896782,240.31837055467008
2573,80,follower,transporter,food_reached_from_trail,237.72800509652106,237.94433752156073
2609,84,forager,follower,pheromone_sensed,132.868878265491,131.690787159948
2622,59,forager,follower,pheromone_sensed,134.68600168398012,99.32351650635482
2636,37,forager,follower,pheromone_sensed,175.970335138338,104.36285884911788
2636,79,follower,transporter,food_reached_from_trail,243.2532352205373,239.64260162479928
2639,73,forager,follower,pheromone_sensed,162.8366853390732,99.42891238554051
2664,90,forager,follower,pheromone_sensed,175.933415086737,103.90407888308009
2689,99,forager,follower,pheromone_sensed,79.4841097633088,188.864573885317
2695,9,forager,follower,pheromone_sensed,107.2071626421276,251.98078599896797
2699,91,forager,follower,pheromone_sensed,250.5085188078012,74.00484402560001
2731,89,follower,transporter,food_reached_from_trail,242.89569348243526,239.05892184489397
2732,83,forager,follower,pheromone_sensed,94.7574450609576,263.1322421241725
2740,57,forager,follower,pheromone_sensed,60.23211941450851,132.51300312047996
2752,78,forager,follower,pheromone_sensed,92.33705720702108,134.50893178148627
2780,69,follower,transporter,food_reached_from_trail,241.4619322049517,236.80207434002648
2806,60,forager,follower,pheromone_sensed,167.4453176967713,85.60142085436264
2852,7,forager,follower,pheromone_sensed,62.002308536045916,162.9747071903678
2865,88,forager,follower,pheromone_sensed,102.8059295088994,75.3321834629292
2881,93,forager,follower,pheromone_sensed,255.98937586291487,166.09329191302987
2882,96,forager,follower,pheromone_sensed,114.92374245574246,89.8117587891422
2893,42,forager,follower,pheromone_sensed,68.57028583017419,118.27941732688126
2913,47,forager,follower,pheromone_sensed,260.6075362513955,57.271359573459854
2919,68,forager,follower,pheromone_sensed,49.545187077367224,154.6589492224337
2923,17,forager,follower,pheromone_sensed,63.58248304710434,126.88771569992473
2924,8,forager,follower,pheromone_sensed,99.51642908041316,280.41944370289883
2934,84,follower,transporter,food_reached_from_trail,240.89070008723024,236.73711131767425
2941,49,follower,transporter,food_reached_from_trail,243.39804875085645,239.42836403860628
2943,55,forager,follower,pheromone_sensed,90.51180254850652,238.87260424365078
2964,51,forager,follower,pheromone_sensed,173.00895136152437,74.89500526387258
2971,37,follower,transporter,food_reached_from_trail,240.68041637569604,236.50144167518528
2974,90,follower,transporter,food_reached_from_trail,240.57387380359387,236.47501963181028
2981,87,forager,follower,pheromone_sensed,78.71718892993763,85.06493864995738
2996,59,follower,transporter,food_reached_from_trail,240.27366381577212,236.44458246897702
3016,10,follower,transporter,food_reached_from_trail,242.33254926627447,242.71319225486693
