time,scope,interpretation,total_grid_cells,active_cell_count,active_area_fraction,total_intensity,selection_threshold,selected_cell_count,selected_fraction_of_active,selected_intensity_share,intensity_weighted_mean_axis_distance,intensity_weighted_median_axis_distance,intensity_weighted_p90_axis_distance,main_channel_width_90,intensity_weighted_mean_segment_distance,connects_nest_to_food_8_neighbour,all_grid_intensity_q00,all_grid_intensity_q25,all_grid_intensity_q50,all_grid_intensity_q75,all_grid_intensity_q90,all_grid_intensity_q95,all_grid_intensity_q99,all_grid_intensity_q100,active_intensity_q00,active_intensity_q25,active_intensity_q50,active_intensity_q75,active_intensity_q90,active_intensity_q95,active_intensity_q99,active_intensity_q100,top_01pct_all_grid_intensity_share,top_05pct_all_grid_intensity_share,top_10pct_all_grid_intensity_share
10000,all_active_history,all historical deposited trajectory cells,250000,102737,0.410948,331588.0,0.0,102737,1.0,1.0,34.043060035677456,15.697770542341352,95.03515139147198,190.07030278294397,38.14600024426237,True,0.0,0.0,0.0,1.0,2.0,4.0,21.0,662.0,1.0,1.0,1.0,2.0,4.0,7.0,46.0,662.0,0.3817779895533011,0.5791614895593327,0.693517256354271
10000,top_01pct_active_tie_inclusive,high-concentration main trajectory candidate,250000,102737,0.410948,331588.0,46.0,1036,0.010084000895490428,0.23831079532431812,9.563828382997343,7.636753236814727,18.66761902332486,37.33523804664972,9.702672929018279,False,0.0,0.0,0.0,1.0,2.0,4.0,21.0,662.0,1.0,1.0,1.0,2.0,4.0,7.0,46.0,662.0,0.3817779895533011,0.5791614895593327,0.693517256354271
10000,top_05pct_active_tie_inclusive,high-concentration main trajectory candidate,250000,102737,0.410948,331588.0,7.0,5656,0.05505319407808287,0.48405249888415747,10.650245095855746,8.485281374238568,19.940411229460622,39.880822458921244,10.8988658438735,True,0.0,0.0,0.0,1.0,2.0,4.0,21.0,662.0,1.0,1.0,1.0,2.0,4.0,7.0,46.0,662.0,0.3817779895533011,0.5791614895593327,0.693517256354271
10000,top_10pct_active_tie_inclusive,high-concentration main trajectory candidate,250000,102737,0.410948,331588.0,4.0,13506,0.13146188812209816,0.5912970312556546,14.789274995122817,9.758073580374344,31.39554108468271,62.79108216936542,16.03833290933431,True,0.0,0.0,0.0,1.0,2.0,4.0,21.0,662.0,1.0,1.0,1.0,2.0,4.0,7.0,46.0,662.0,0.3817779895533011,0.5791614895593327,0.693517256354271
