time,role,sample_count,orientation_order_phi,nematic_order_psi,folded_vector_x,folded_vector_y,sample_too_small,interpretation_warning
30,forager,100,-0.1475598965248305,0.6423095183539187,0.6317184400897556,-0.11616079294929475,False,
30,transporter,0,,,,,True,insufficient sample; do not over-interpret
30,follower,0,,,,,True,insufficient sample; do not over-interpret
31,forager,100,-0.09999973521842356,0.6213115822010109,0.6167930950469946,-0.07479545493860328,False,
31,transporter,0,,,,,True,insufficient sample; do not over-interpret
31,follower,0,,,,,True,insufficient sample; do not over-interpret
32,forager,100,-0.12222097645514626,0.6342951532222777,0.6273619437778829,-0.09352717733637228,False,
32,transporter,0,,,,,True,insufficient sample; do not over-interpret
32,follower,0,,,,,True,insufficient sample; do not over-interpret
33,forager,100,-0.13538863801515266,0.6644336252745977,0.6556247178209397,-0.10783446470288484,False,
33,transporter,0,,,,,True,insufficient sample; do not over-interpret
33,follower,0,,,,,True,insufficient sample; do not over-interpret
34,forager,100,-0.1267066542302407,0.6319780341997568,0.62193044159203,-0.11224420489331115,False,
34,transporter,0,,,,,True,insufficient sample; do not over-interpret
34,follower,0,,,,,True,insufficient sample; do not over-interpret
35,forager,100,-0.18845935965033955,0.7174702650694283,0.702557170957935,-0.145523203628764,False,
35,transporter,0,,,,,True,insufficient sample; do not over-interpret
35,follower,0,,,,,True,insufficient sample; do not over-interpret
36,forager,100,-0.13391534463549615,0.6392451832847695,0.6293765811480178,-0.11189067635514281,False,
36,transporter,0,,,,,True,insufficient sample; do not over-interpret
36,follower,0,,,,,True,insufficient sample; do not over-interpret
37,forager,100,-0.03960762814538608,0.6611593367806641,0.6599530866506158,-0.0399198200468434,False,
37,transporter,0,,,,,True,insufficient sample; do not over-interpret
37,follower,0,,,,,True,insufficient sample; do not over-interpret
38,forager,100,-0.26390452172444245,0.6478564802951667,0.6107739856868802,-0.21603971271181682,False,
38,transporter,0,,,,,True,insufficient sample; do not over-interpret
38,follower,0,,,,,True,insufficient sample; do not over-interpret
39,forager,100,-0.021476090995639366,0.6204789141930162,0.6194917068837176,-0.03498725568607014,False,
39,transporter,0,,,,,True,insufficient sample; do not over-interpret
39,follower,0,,,,,True,insufficient sample; do not over-interpret
40,forager,100,-0.15395159073856676,0.6686392702231546,0.6562025704639908,-0.12836144359192936,False,
40,transporter,0,,,,,True,insufficient sample; do not over-interpret
40,follower,0,,,,,True,insufficient sample; do not over-interpret
41,forager,100,-0.04212228817024864,0.6236289613174207,0.6215236268166952,-0.051200221703295475,False,
41,transporter,0,,,,,True,insufficient sample; do not over-interpret
41,follower,0,,,,,True,insufficient sample; do not over-interpret
42,forager,100,-0.06425392003923217,0.6542265541815581,0.649674117542777,-0.07704495565115924,False,
42,transporter,0,,,,,True,insufficient sample; do not over-interpret
42,follower,0,,,,,True,insufficient sample; do not over-interpret
43,forager,100,-0.21047478152193627,0.6544297709498618,0.6333726357384086,-0.16467370586487004,False,
43,transporter,0,,,,,True,insufficient sample; do not over-interpret
43,follower,0,,,,,True,insufficient sample; do not over-interpret
44,forager,100,-0.04831901091143846,0.6110706001405252,0.6079407309467431,-0.0617684872086199,False,
44,transporter,0,,,,,True,insufficient sample; do not over-interpret
44,follower,0,,,,,True,insufficient sample; do not over-interpret
45,forager,100,-0.16279315092898375,0.6175035990187119,0.6031198036977882,-0.13250357424840864,False,
45,transporter,0,,,,,True,insufficient sample; do not over-interpret
45,follower,0,,,,,True,insufficient sample; do not over-interpret
46,forager,100,-0.18527012348298236,0.6125142318616575,0.5932533431827971,-0.152394734277503,False,
46,transporter,0,,,,,True,insufficient sample; do not over-interpret
46,follower,0,,,,,True,insufficient sample; do not over-interpret
47,forager,100,-0.17117723004665508,0.6952392374204976,0.6779183634666738,-0.1542215605020968,False,
47,transporter,0,,,,,True,insufficient sample; do not over-interpret
47,follower,0,,,,,True,insufficient sample; do not over-interpret
48,forager,100,-0.13474910954647681,0.6204386760556269,0.609347612641533,-0.11678885954457822,False,
48,transporter,0,,,,,True,insufficient sample; do not over-interpret
48,follower,0,,,,,True,insufficient sample; do not over-interpret
49,forager,100,-0.15171210898612533,0.6407526678653435,0.6295600844450471,-0.11923959682127533,False,
49,transporter,0,,,,,True,insufficient sample; do not over-interpret
49,follower,0,,,,,True,insufficient sample; do not over-interpret
50,forager,100,-0.04985367838953476,0.6525208200216298,0.6499183499408041,-0.05821991903054014,False,
50,transporter,0,,,,,True,insufficient sample; do not over-interpret
50,follower,0,,,,,True,insufficient sample; do not over-interpret
51,forager,100,-0.10273394875187583,0.6469251553738944,0.6399309430138062,-0.09487120126254402,False,
51,transporter,0,,,,,True,insufficient sample; do not over-interpret
51,follower,0,,,,,True,insufficient sample; do not over-interpret
52,forager,100,-0.030442108512301436,0.6352775689774843,0.6344836525093873,-0.031750344002693456,False,
52,transporter,0,,,,,True,insufficient sample; do not over-interpret
52,follower,0,,,,,True,insufficient sample; do not over-interpret
53,forager,100,-0.10311874281952979,0.674313985730592,0.6674713598367726,-0.09581928380825361,False,
53,transporter,0,,,,,True,insufficient sample; do not over-interpret
53,follower,0,,,,,True,insufficient sample; do not over-interpret
54,forager,100,0.057110377554156294,0.6544575777725167,0.6537317293785233,0.030814722254707824,False,
54,transporter,0,,,,,True,insufficient sample; do not over-interpret
54,follower,0,,,,,True,insufficient sample; do not over-interpret
55,forager,100,-0.11129935736174365,0.6995371674832175,0.6926738254804904,-0.09775080656785497,False,
55,transporter,0,,,,,True,insufficient sample; do not over-interpret
55,follower,0,,,,,True,insufficient sample; do not over-interpret
56,forager,100,-0.17838710983299186,0.6570876460882603,0.6445474933234984,-0.12776033614626128,False,
56,transporter,0,,,,,True,insufficient sample; do not over-interpret
56,follower,0,,,,,True,insufficient sample; do not over-interpret
57,forager,100,-0.08714502242888042,0.661358131673701,0.6570810299852632,-0.07509393027691509,False,
57,transporter,0,,,,,True,insufficient sample; do not over-interpret
57,follower,0,,,,,True,insufficient sample; do not over-interpret
58,forager,100,-0.05034223625811116,0.6334140573036403,0.6319341612770752,-0.04327336133117926,False,
58,transporter,0,,,,,True,insufficient sample; do not over-interpret
58,follower,0,,,,,True,insufficient sample; do not over-interpret
59,forager,100,-0.09119739656536911,0.6721184060838906,0.6678216770402117,-0.07587726584392025,False,
59,transporter,0,,,,,True,insufficient sample; do not over-interpret
59,follower,0,,,,,True,insufficient sample; do not over-interpret
60,forager,100,0.07646783912087539,0.6454235557135696,0.6434394396744296,0.05056929642978338,False,
60,transporter,0,,,,,True,insufficient sample; do not over-interpret
60,follower,0,,,,,True,insufficient sample; do not over-interpret
61,forager,100,0.050923386472439915,0.6406744395119619,0.6397645363236717,0.034133202406512714,False,
61,transporter,0,,,,,True,insufficient sample; do not over-interpret
61,follower,0,,,,,True,insufficient sample; do not over-interpret
62,forager,100,0.09735300489412035,0.6236325086354106,0.6193970863203585,0.07255863342666996,False,
62,transporter,0,,,,,True,insufficient sample; do not over-interpret
62,follower,0,,,,,True,insufficient sample; do not over-interpret
