ant_id,sensing_steps,hit_count,miss_count,miss_rate,max_consecutive_miss_length,mean_candidate_cell_count,tie_step_count,no_signal_continue_count,mean_choice_food_error_deg_on_hits
0,3600,3464,136,0.03777777777777778,123,7.360833333333333,502,136,28.82467663613273
1,5584,5544,40,0.0071633237822349575,11,7.418159025787966,666,40,77.61240596453052
2,2889,2861,28,0.009691934925579786,16,7.568016614745587,428,28,27.647623598816832
3,5713,5568,145,0.025380710659898477,31,7.355329949238579,466,145,81.69075448159127
4,3865,3842,23,0.0059508408796895215,10,7.495730918499353,572,23,28.79090909420267
5,5871,5740,131,0.02231306421393289,130,6.802248339294839,603,131,82.24405986136884
6,3049,3041,8,0.0026238110856018366,5,7.744178419153821,430,8,28.26681543144486
7,3377,3373,4,0.0011844832691738228,1,7.754811963281019,481,4,27.961092534373627
8,3793,3711,82,0.021618771421038754,56,7.1819140522014235,643,82,33.5090062611243
9,5169,5124,45,0.008705745792222866,27,7.2513058618688335,1353,45,85.08541505515721
10,2829,2757,72,0.02545068928950159,29,6.571226581831036,650,72,37.77334186830895
11,5339,5173,166,0.031091964787413374,147,6.4941000187301,1469,166,79.05924087138024
12,3757,3733,24,0.006388075592227841,14,7.580250199627362,545,24,28.613009840302897
13,7045,6459,586,0.08317955997161107,55,2.3569907735982967,4519,586,91.29469674882223
14,2543,2398,145,0.05701926858041683,16,6.364923318914668,570,145,38.14005743797966
15,4108,3987,121,0.029454722492697177,61,7.394839337877313,474,121,28.68133155186057
16,5730,5695,35,0.006108202443280977,10,7.681326352530541,581,35,74.18006270954402
17,2931,2214,717,0.24462640736949848,42,3.631183896281133,945,717,73.79364947664375
18,3508,3329,179,0.05102622576966933,170,7.391391106043329,477,179,28.907912780447898
19,4065,3902,163,0.04009840098400984,47,6.635916359163591,656,163,85.8490534294507
20,5489,5354,135,0.024594643833120787,94,7.788850428128986,175,135,82.4695333026863
21,3565,3475,90,0.025245441795231416,50,7.225806451612903,530,90,28.79607015204496
22,4694,4573,121,0.02577758841073711,38,7.384107371112058,395,121,80.37013175074458
23,6425,6182,243,0.03782101167315175,234,7.525291828793774,408,243,76.51065536605866
24,5415,5409,6,0.00110803324099723,1,6.008864265927977,2074,6,86.16100607652085
25,2785,2573,212,0.07612208258527828,84,6.961579892280072,420,212,29.532955515132585
26,2619,2521,98,0.037418862161130204,12,6.3982436044291715,639,98,39.87808281694946
27,4744,4657,87,0.0183389544688027,75,7.741146711635751,259,87,82.21366868267218
28,4539,4306,233,0.05133289270764486,13,5.105309539546155,2098,233,88.512157611604
29,3163,3158,5,0.0015807777426493834,3,7.558963009800822,435,5,29.90498789516544
30,3965,3941,24,0.00605296343001261,14,7.543505674653216,635,24,28.71003745867077
31,5646,5514,132,0.023379383634431455,130,7.606624158696422,349,132,73.29495680359777
32,4913,4684,229,0.04661103195603501,214,7.402198249542032,277,229,87.16719496000931
33,5745,5672,73,0.012706701479547432,39,7.589556135770235,515,73,79.01406165708966
34,5983,5768,215,0.035935149590506435,169,7.374561256894535,501,215,69.08788021734385
35,6013,5857,156,0.025943788458340264,123,7.692832196906702,165,156,87.11539344340761
36,5911,5829,82,0.013872441211300964,39,7.111148705802741,1433,82,81.275992239846
37,3503,3294,209,0.05966314587496432,169,7.350556665715101,456,209,28.25511166934259
38,4141,4126,15,0.003622313450857281,6,7.663366336633663,367,15,70.24439723392116
39,5850,5706,144,0.024615384615384615,143,7.765299145299145,287,144,79.32688941200944
40,6843,6791,52,0.007599006283793658,33,6.706561449656584,3101,52,82.5047227019929
41,4517,4383,134,0.029665707327872482,130,7.007084348018596,840,134,35.84287342725607
42,4232,4228,4,0.000945179584120983,2,5.953686200378072,444,4,75.36548672447101
43,5473,5152,321,0.05865156221450758,250,6.43742006212315,1190,321,75.10635987311414
44,2491,2486,5,0.002007226013649137,1,7.014050582095544,418,5,30.93297458856599
45,3743,3710,33,0.008816457387122629,11,7.5316590969810315,546,33,28.008151382281266
46,6339,6256,83,0.01309354787821423,55,7.153020981227323,1537,83,88.90469350058952
47,7019,6814,205,0.02920643966376977,21,3.614332526000855,3894,205,88.12377891862252
48,5103,5036,67,0.013129531648050167,47,7.898295120517343,128,67,89.23189785707686
49,3235,3194,41,0.01267387944358578,14,7.34806800618238,393,41,29.556819147525243
50,6371,6277,94,0.014754355674148486,67,7.712133103123528,288,94,83.39316129214318
51,4064,3998,66,0.01624015748031496,57,7.630659448818897,263,66,85.8909206020067
52,1590,1526,64,0.04025157232704402,20,5.568553459119497,413,64,38.8871172061373
53,4167,4137,30,0.007199424046076314,14,7.377009839212863,765,30,36.37796177352106
54,4053,4027,26,0.006415001233654083,21,7.5921539600296075,558,26,27.540773721561774
55,6238,6056,182,0.029176017954472586,170,7.547771721705675,596,182,79.60862555064409
56,5407,5371,36,0.006658035879415572,29,7.828555576105049,516,36,80.41637592593244
57,3987,3924,63,0.01580135440180587,50,7.342111863556559,580,63,28.85201714936457
58,4930,4540,390,0.07910750507099391,299,7.212778904665314,293,390,81.21121540473203
59,5127,5101,26,0.005071191730056563,10,7.77667251804174,607,26,71.43801009802371
60,5997,5898,99,0.016508254127063533,56,7.616141404035351,492,99,78.37998637976636
61,4009,3972,37,0.009229234222998255,29,7.58144175604889,295,37,83.15915079000183
62,5680,5616,64,0.011267605633802818,40,7.476056338028169,613,64,77.32779077306789
63,3615,3613,2,0.0005532503457814661,1,7.710650069156293,555,2,30.115618592910447
64,7485,7118,367,0.0490313961255845,9,2.4344689378757516,4880,367,91.5043016067824
65,4417,4367,50,0.011319900384876612,13,7.567353407290016,445,50,64.30889386509216
66,6025,5910,115,0.019087136929460582,59,6.488132780082988,358,115,82.04809813792343
67,5374,5341,33,0.006140677335318198,15,7.8345738742091555,685,33,76.60563505006604
68,6020,6013,7,0.0011627906976744186,1,7.978239202657807,212,7,83.74580469290134
69,4252,4185,67,0.015757290686735655,15,7.2862182502351835,708,67,29.12600426050442
70,5756,5732,24,0.004169562195969423,20,6.6483669214732455,290,24,85.51267637565331
71,3765,3732,33,0.008764940239043825,25,6.029216467463479,2488,33,75.51006792444431
72,6736,6272,464,0.0688836104513064,19,2.3410035629453683,4315,464,88.8497832610273
73,5780,5678,102,0.01764705882352941,94,7.7730103806228374,378,102,83.50603524948713
74,4753,4720,33,0.006942983378918578,16,6.654533978539869,1120,33,78.86892872688307
75,5703,5376,327,0.05733824302998422,315,7.306680694371384,282,327,82.68264270735058
76,4037,4030,7,0.0017339608620262571,7,6.252167451077533,1221,7,70.36360029687303
77,5651,5512,139,0.02459741638648027,76,7.750132719872589,125,139,87.9105846920149
78,3059,3045,14,0.004576659038901602,10,7.5047401111474334,414,14,26.779856502171725
79,4820,4781,39,0.008091286307053943,31,7.2053941908713695,1614,39,82.46177654968051
80,5016,4935,81,0.016148325358851676,26,7.509768740031898,2482,81,84.64270216565258
81,6036,5852,184,0.030483764082173626,130,7.510106030483764,563,184,69.14764274497365
82,5403,5386,17,0.003146400148065889,10,7.837312604108829,194,17,86.23957851066285
83,5499,5454,45,0.008183306055646482,23,7.9619930896526645,212,45,85.77518454278015
84,4521,3950,571,0.12629949126299492,254,5.699402786994028,768,571,86.42151944464936
85,5185,5164,21,0.004050144648023143,14,7.837801350048216,169,21,84.96298566378893
86,3820,3781,39,0.010209424083769634,10,6.835602094240838,813,39,36.396297206965954
87,6906,6717,189,0.02736750651607298,124,7.451346655082537,740,189,84.96789682214731
88,2986,2982,4,0.0013395847287340924,4,7.872404554588078,409,4,27.74732035554006
89,2619,2562,57,0.021764032073310423,28,7.100038182512409,503,57,30.612902644800307
90,5905,5763,142,0.024047417442845047,130,7.822353937341236,207,142,84.23983616686444
91,2513,2307,206,0.08197373656983685,13,5.839235972940708,643,206,41.76111458114393
92,6533,6516,17,0.0026021735802847085,5,7.01530690341344,1572,17,82.55644636607899
93,3454,3357,97,0.0280833815865663,90,7.561667631731326,422,97,27.813840346635804
94,3700,3528,172,0.046486486486486484,170,7.380810810810811,543,172,31.34380544479117
95,5120,5072,48,0.009375,30,7.8107421875,216,48,82.97709319496094
96,4518,4460,58,0.012837538733953076,28,7.571491810535635,310,58,83.97336463606057
97,3947,3918,29,0.007347352419559159,15,7.400810742335952,612,29,27.456623967910524
98,4813,4803,10,0.002077706212341575,2,7.284645751090796,901,10,67.20271659529372
99,6185,6015,170,0.0274858528698464,16,4.255618431689571,3226,170,89.2100598831526
