time,ant_id,x,y,heading,orientation_angle,role,movement_cursor,last_path_distance,last_displacement
0,0,90.0,90.0,1.7202207204233542,-1.421371933166439,forager,0,0.0,0.0
0,1,90.0,90.0,5.4341974781593345,-0.8489878290202517,forager,0,0.0,0.0
0,2,90.0,90.0,1.5538696837890222,1.5538696837890225,forager,0,0.0,0.0
0,3,90.0,90.0,3.728439959324625,0.5868473057348318,forager,0,0.0,0.0
0,4,90.0,90.0,0.150398526990219,0.15039852699021905,forager,0,0.0,0.0
0,5,90.0,90.0,1.752196134195821,-1.389396519393972,forager,0,0.0,0.0
0,6,90.0,90.0,2.1384944558035324,-1.0030981977862607,forager,0,0.0,0.0
0,7,90.0,90.0,2.526448581065921,-0.6151440725238722,forager,0,0.0,0.0
0,8,90.0,90.0,0.21797785754137058,0.21797785754137067,forager,0,0.0,0.0
0,9,90.0,90.0,4.035150430212457,0.8935577766226634,forager,0,0.0,0.0
0,10,90.0,90.0,6.007743498053248,-0.2754418091263382,forager,0,0.0,0.0
0,11,90.0,90.0,5.04705629054753,-1.2361290166320567,forager,0,0.0,0.0
0,12,90.0,90.0,0.7409606572216119,0.7409606572216116,forager,0,0.0,0.0
0,13,90.0,90.0,2.5576512177083686,-0.5839414358814246,forager,0,0.0,0.0
0,14,90.0,90.0,0.7965505384005388,0.7965505384005387,forager,0,0.0,0.0
0,15,90.0,90.0,5.186000067632564,-1.0971852395470219,forager,0,0.0,0.0
0,16,90.0,90.0,6.098695665403611,-0.1844896417759756,forager,0,0.0,0.0
0,17,90.0,90.0,5.5484784200620485,-0.7347068871175377,forager,0,0.0,0.0
0,18,90.0,90.0,3.926292615096044,0.7846999615062504,forager,0,0.0,0.0
0,19,90.0,90.0,3.276119971692489,0.13452731810269647,forager,0,0.0,0.0
0,20,90.0,90.0,4.607365026667533,1.4657723730777397,forager,0,0.0,0.0
0,21,90.0,90.0,1.4824092888272542,1.4824092888272542,forager,0,0.0,0.0
0,22,90.0,90.0,5.880234147307361,-0.4029511598722255,forager,0,0.0,0.0
0,23,90.0,90.0,5.049052982771333,-1.234132324408253,forager,0,0.0,0.0
0,24,90.0,90.0,1.836660775347816,-1.3049318782419772,forager,0,0.0,0.0
0,25,90.0,90.0,1.6329554260925145,-1.5086372274972786,forager,0,0.0,0.0
0,26,90.0,90.0,1.741690122301133,-1.3999025312886602,forager,0,0.0,0.0
0,27,90.0,90.0,0.11966646154473881,0.11966646154473892,forager,0,0.0,0.0
0,28,90.0,90.0,1.1147804165929394,1.1147804165929394,forager,0,0.0,0.0
0,29,90.0,90.0,0.7966794764969182,0.7966794764969181,forager,0,0.0,0.0
0,30,90.0,90.0,0.7041596146476191,0.7041596146476192,forager,0,0.0,0.0
0,31,90.0,90.0,5.392539854473463,-0.8906454527061234,forager,0,0.0,0.0
0,32,90.0,90.0,3.7353598737223757,0.5937672201325821,forager,0,0.0,0.0
0,33,90.0,90.0,2.8180457456389476,-0.3235469079508455,forager,0,0.0,0.0
0,34,90.0,90.0,0.15892590082380972,0.15892590082380975,forager,0,0.0,0.0
0,35,90.0,90.0,4.630948648750831,1.4893559951610378,forager,0,0.0,0.0
0,36,90.0,90.0,5.451839388812357,-0.8313459183672292,forager,0,0.0,0.0
0,37,90.0,90.0,1.5654258188652477,1.565425818865248,forager,0,0.0,0.0
0,38,90.0,90.0,0.9603632843277525,0.9603632843277525,forager,0,0.0,0.0
0,39,90.0,90.0,4.675506940340698,1.533914286750905,forager,0,0.0,0.0
0,40,90.0,90.0,0.39943363832175044,0.3994336383217505,forager,0,0.0,0.0
0,41,90.0,90.0,3.748360918615836,0.6067682650260426,forager,0,0.0,0.0
0,42,90.0,90.0,5.305784221971825,-0.9774010852077613,forager,0,0.0,0.0
0,43,90.0,90.0,5.231738075552745,-1.0514472316268408,forager,0,0.0,0.0
0,44,90.0,90.0,2.843944251310264,-0.2976484022795294,forager,0,0.0,0.0
0,45,90.0,90.0,1.422780953826214,1.422780953826214,forager,0,0.0,0.0
0,46,90.0,90.0,3.2811026227585556,0.13950996916876246,forager,0,0.0,0.0
0,47,90.0,90.0,2.7189625148756815,-0.42263013871411204,forager,0,0.0,0.0
0,48,90.0,90.0,3.3428056944656244,0.2012130408758317,forager,0,0.0,0.0
0,49,90.0,90.0,1.1271684497449457,1.1271684497449455,forager,0,0.0,0.0
0,50,90.0,90.0,4.299750428988,1.158157775398207,forager,0,0.0,0.0
0,51,90.0,90.0,5.304329893467823,-0.9788554137117629,forager,0,0.0,0.0
0,52,90.0,90.0,1.5279419530366656,1.5279419530366658,forager,0,0.0,0.0
0,53,90.0,90.0,5.67130202595678,-0.6118832812228066,forager,0,0.0,0.0
0,54,90.0,90.0,1.959525511722033,-1.1820671418677602,forager,0,0.0,0.0
0,55,90.0,90.0,6.280436857687316,-0.0027484494922704883,forager,0,0.0,0.0
0,56,90.0,90.0,2.9825229148242505,-0.15906973876554265,forager,0,0.0,0.0
0,57,90.0,90.0,4.511295730457514,1.3697030768677205,forager,0,0.0,0.0
0,58,90.0,90.0,5.465087777095386,-0.8180975300842004,forager,0,0.0,0.0
0,59,90.0,90.0,6.249748628457575,-0.03343667872201106,forager,0,0.0,0.0
0,60,90.0,90.0,5.918645948640344,-0.36453935853924246,forager,0,0.0,0.0
0,61,90.0,90.0,6.019504482888259,-0.26368082429132755,forager,0,0.0,0.0
0,62,90.0,90.0,5.497212894655856,-0.78597241252373,forager,0,0.0,0.0
0,63,90.0,90.0,0.5346035634146922,0.5346035634146924,forager,0,0.0,0.0
0,64,90.0,90.0,3.496637013830982,0.35504436024118924,forager,0,0.0,0.0
0,65,90.0,90.0,6.140135844960415,-0.14304946221917092,forager,0,0.0,0.0
0,66,90.0,90.0,4.6839719421927315,1.5423792886029384,forager,0,0.0,0.0
0,67,90.0,90.0,0.04511108486142032,0.045111084861420236,forager,0,0.0,0.0
0,68,90.0,90.0,2.4564575523624295,-0.6851351012273632,forager,0,0.0,0.0
0,69,90.0,90.0,0.39975112898056975,0.39975112898056975,forager,0,0.0,0.0
0,70,90.0,90.0,5.210999397111717,-1.0721859100678692,forager,0,0.0,0.0
0,71,90.0,90.0,1.6786999423216666,-1.4628927112681263,forager,0,0.0,0.0
0,72,90.0,90.0,1.3254842806166842,1.325484280616684,forager,0,0.0,0.0
0,73,90.0,90.0,3.206621328394523,0.06502867480472929,forager,0,0.0,0.0
0,74,90.0,90.0,5.781834474515354,-0.5013508326642322,forager,0,0.0,0.0
0,75,90.0,90.0,5.7447404727378215,-0.5384448344417647,forager,0,0.0,0.0
0,76,90.0,90.0,4.501109820015895,1.3595171664261017,forager,0,0.0,0.0
0,77,90.0,90.0,3.1195305611630313,-0.02206209242676138,forager,0,0.0,0.0
0,78,90.0,90.0,1.1500654116994,1.1500654116994,forager,0,0.0,0.0
0,79,90.0,90.0,4.542337968994632,1.4007453154048388,forager,0,0.0,0.0
0,80,90.0,90.0,2.251494988524672,-0.8900976650651211,forager,0,0.0,0.0
0,81,90.0,90.0,3.8943782107151828,0.7527855571253896,forager,0,0.0,0.0
0,82,90.0,90.0,3.5475019883049983,0.4059093347152052,forager,0,0.0,0.0
0,83,90.0,90.0,3.110051548671056,-0.03154110491873752,forager,0,0.0,0.0
0,84,90.0,90.0,3.073825147669717,-0.06776750592007552,forager,0,0.0,0.0
0,85,90.0,90.0,0.11583478081396491,0.11583478081396481,forager,0,0.0,0.0
0,86,90.0,90.0,4.71245198462991,-1.5707333225496765,forager,0,0.0,0.0
0,87,90.0,90.0,1.4486947369403158,1.4486947369403156,forager,0,0.0,0.0
0,88,90.0,90.0,1.2648968492495767,1.2648968492495767,forager,0,0.0,0.0
0,89,90.0,90.0,0.8470684153865166,0.8470684153865164,forager,0,0.0,0.0
0,90,90.0,90.0,4.21099930345169,1.0694066498618966,forager,0,0.0,0.0
0,91,90.0,90.0,2.489738694224,-0.651853959365793,forager,0,0.0,0.0
0,92,90.0,90.0,4.290839293505782,1.1492466399159893,forager,0,0.0,0.0
0,93,90.0,90.0,0.8089306024852924,0.8089306024852925,forager,0,0.0,0.0
0,94,90.0,90.0,3.4897908145474483,0.3481981609576552,forager,0,0.0,0.0
0,95,90.0,90.0,5.6687015988936205,-0.6144837082859658,forager,0,0.0,0.0
0,96,90.0,90.0,6.00996588727891,-0.2732194199006761,forager,0,0.0,0.0
0,97,90.0,90.0,0.7438814754616258,0.7438814754616256,forager,0,0.0,0.0
0,98,90.0,90.0,5.7798021895622,-0.5033831176173864,forager,0,0.0,0.0
0,99,90.0,90.0,0.21187563197092707,0.21187563197092718,forager,0,0.0,0.0
100,0,90.13443446436608,140.15484980180065,1.4499893843255112,1.4499893843255114,forager,100,0.6,0.6000000000000137
100,1,111.06327086889877,68.07379600954538,1.0082470606923002,1.0082470606923,forager,100,0.6,0.5999999999999929
100,2,111.22661719689114,119.31442598401502,-0.90621386344514,-0.90621386344514,forager,100,0.6,0.600000000000004
100,3,118.7744355335841,94.45215742098972,0.21161127400531105,0.2116112740053111,forager,100,0.6,0.5999999999999976
100,4,130.4951587936487,86.92546550644568,-0.8381200886014931,-0.8381200886014931,forager,100,0.6,0.5999999999999894
