time,ant_id,from_role,to_role,reason,x,y
1986,7,follower,transporter,food_reached_from_trail,239.62630146136644,236.6634874678299
1993,55,follower,transporter,food_reached_from_trail,239.51527810310628,236.8328948296268
1995,37,follower,transporter,food_reached_from_trail,238.66815614215588,237.07299940350998
2003,73,follower,transporter,food_reached_from_trail,238.92383018328795,237.18419411767448
2006,5,follower,transporter,food_reached_from_trail,239.13524004211135,236.78201972428462
2008,18,follower,transporter,food_reached_from_trail,239.29500362429377,237.0357498932776
2015,76,follower,transporter,food_reached_from_trail,238.8577535283074,236.9358445357493
2015,90,follower,transporter,food_reached_from_trail,238.99897745524427,237.12054115151633
2022,49,forager,follower,pheromone_sensed,78.46103537650218,86.26918017567104
2022,58,forager,follower,pheromone_sensed,192.30498829911969,38.56214890798349
2040,98,follower,transporter,food_reached_from_trail,238.96515294036982,236.6596548300886
2042,35,forager,follower,pheromone_sensed,102.61294048992283,190.6424778863681
2060,0,follower,transporter,food_reached_from_trail,239.59881338832002,236.72593916511283
2064,56,follower,transporter,food_reached_from_trail,237.87093296944033,237.17669139349354
2071,11,forager,follower,pheromone_sensed,197.86241461423631,34.26889122324745
2073,82,forager,follower,pheromone_sensed,83.24145268934498,87.07079246984475
2095,88,forager,follower,pheromone_sensed,126.38128792923767,129.7096938808307
2103,81,follower,transporter,food_reached_from_trail,238.88177370110753,236.90513737631997
2115,34,follower,transporter,food_reached_from_trail,239.13494760316783,236.81032053085252
2117,78,forager,follower,pheromone_sensed,54.64589282336371,98.29783408825253
2130,83,follower,transporter,food_reached_from_trail,241.07748795177335,237.02644773208337
2133,87,follower,transporter,food_reached_from_trail,238.35230314637812,237.06128161930826
2134,6,forager,follower,pheromone_sensed,123.98736300916333,99.25327282437493
2137,95,forager,follower,pheromone_sensed,128.95494200886415,194.29711379079413
2191,80,forager,follower,pheromone_sensed,49.54364773943614,135.0054537948918
2191,85,forager,follower,pheromone_sensed,79.89147220193115,87.26998859470903
2211,22,forager,follower,pheromone_sensed,171.0527263488917,57.1418435290149
2213,71,forager,follower,pheromone_sensed,130.68056256913886,73.73829268191675
2228,9,forager,follower,pheromone_sensed,145.0295691327691,77.33568887196915
2229,38,forager,follower,pheromone_sensed,66.24486922079103,149.06937048089432
2238,15,forager,follower,pheromone_sensed,117.86169762638106,52.810883780981776
2239,57,follower,transporter,food_reached_from_trail,238.85475213494504,236.91417207866152
2242,21,follower,transporter,food_reached_from_trail,239.30279924479194,236.77146713107584
2254,24,forager,follower,pheromone_sensed,239.7070057301088,126.6422286834548
2258,75,follower,transporter,food_reached_from_trail,239.63190933523,236.62416177456439
2264,32,forager,follower,pheromone_sensed,191.9058002466277,39.05622404838526
2268,2,forager,follower,pheromone_sensed,48.48087439595505,139.05425676659794
2268,27,forager,follower,pheromone_sensed,276.83341923428816,126.86300094036565
2270,20,follower,transporter,food_reached_from_trail,239.1709538330267,237.01627693125423
2281,43,follower,transporter,food_reached_from_trail,240.9173108295301,236.77067011937024
2322,25,forager,follower,pheromone_sensed,195.63573074021005,35.73248868101808
2325,79,forager,follower,pheromone_sensed,100.36739039761578,46.53502733806515
2334,69,transporter,follower,food_deposited_at_nest,91.67450989607819,92.29775653765319
2352,70,follower,transporter,food_reached_from_trail,238.75406122950375,236.99875580369354
2359,29,follower,transporter,food_reached_from_trail,240.32271358277217,236.81121810961773
2365,48,forager,follower,pheromone_sensed,116.07573709032994,272.3039727253298
2380,95,follower,transporter,food_reached_from_trail,237.55131857626844,237.648900120697
